fig,read,mean
nichi,ニチ、ジツ、ひ、-び、-か,"day"
ichi,イチ、イツ、ひと-、ひと.つ,one
kuni,コク、くに,country
hito,ジン、ニン、ひと、-り、-と,person
nen,ネン、とし,year
dai,ダイ、タイ、おお-、おお.きい、-おお.いに,big
jyu,ジュウ、ジッ、ジュッ、とお、と,10
ni,ニ、ジ、ふた、ふた.つ、ふたた.び,2
hon,ホン、もと,book
naka,チュウ、なか、うち、あた.る,in
nagai,チョウ、なが.い、おさ,long
deru,シュツ、スイ、で.る、-で、だ.す、-だ.す、い.でる、い.だす,exit
san,サン、ゾウ、み、み.つ、みっ.つ,3
toki,ジ、とき、-どき,time
iku,コウ、ギョウ、アン、い.く、ゆ.く、-ゆ.き、-ゆき、-い.き、-いき、おこな.う、おこ.なう,to go
miru,ケン、み.る、み.える、み.せる,to see
tsuki,ゲツ、ガツ、つき,moon
ato,ゴ、コウ、のち、うし.ろ、うしろ、あと、おく.れる,behind
mae,ゼン、まえ、-まえ,infront
ikiru, セイ、 ショウ、 い.きる、 い.かす、 い.ける、 う.まれる、 うま.れる、 う.まれ、 うまれ、 う.む、 お.う、 は.える、 は.やす、 き 、 なま、 なま-、 な.る、 な.す、 む.す, to live
go, ゴ 、いつ 、いつ.つ, 5
aida, カン 、ケン 、あいだ 、 ま 、あい, between
ue, ジョウ 、ショウ 、シャン 、うえ 、-うえ  、うわ- 、かみ 、あ.げる 、 -あ.げる 、あ.がる 、 -あ.がる 、あ.がり 、 -あ.がり 、のぼ.る 、 のぼ.り 、のぼ.せる 、 のぼ.す 、よ.す, up
higashi, トウ 、ひがし, east
yon, シ 、よ 、よ.つ 、よっ.つ 、よん, 4
ima, コン 、キン 、いま, now
kane, キン 、コン 、ゴン  、かね 、かな- 、-がね, gold
kyu, キュウ 、ク 、ここの 、 ここの.つ, 9
iru, ニュウ 、ジュ 、い.る 、 -い.る 、-い.り 、い.れる 、-い.れ 、はい.る, insert
manabu,ガク 、まな.ぶ, to study
takai, コウ 、たか.い 、たか 、 -だか 、たか.まる  、たか.める, high
en, エン 、まる.い 、まる 、 まど 、まど.か 、まろ.やか, round
ko, シ 、ス 、ツ 、こ 、-こ 、ね, child; 11PM-1AM
soto, ガイ 、ゲ 、そと 、ほか 、はず.す 、はず.れる 、と-, outside
hachi, ハチ 、や 、や.つ 、やっ.つ 、よう, 8
roku, ロク 、リク 、む 、む.つ 、むっ.つ 、むい, 6
shita, カ 、ゲ 、した 、しも 、 もと 、さ.げる 、さ.がる 、くだ.る 、くだ.り 、くだ.す 、-くだ.す 、くだ.さる 、お.ろす 、お.りる, down
kuru, ライ 、タイ 、く.る 、きた.る 、きた.す 、き.たす 、き.たる 、き 、こ, come
ki, キ 、ケ 、いき, spirit
chisai, ショウ 、ちい.さい 、こ- 、お- 、さ-, small
nana, シチ 、なな 、なな.つ 、 なの, 7
yama, サン 、セン 、やま, mountain
hanashi, ワ 、はな.す 、はなし, tale
onna, ジョ 、ニョ 、ニョウ 、 おんな 、め, woman
kita, ホク 、きた, north
uma, ゴ 、うま, noon
hyaku, ヒャク 、ビャク 、もも, 100
kaku, ショ 、か.く 、-が.き 、 -がき, to write
sama, セン 、さき 、ま.ず, before; ahead
na,メイ 、ミョウ 、な 、-な, name
kawa, セン 、かわ, stream; river
sen, セン 、ち, 1000
mizu, スイ 、みず 、みず-, water
han,ハン 、なか.ば, half
otoko,ダン 、ナン 、おとこ 、 お, man
nishi, セイ 、サイ 、ス 、にし, west
den,デン, electricity
koutest, コウ 、キョウ,exam; school; printing; proof; correction
kataru, ゴ 、かた.る 、かた.らう, word
tsuchi, ド 、ト 、つち, soil; earth
kitree, ボク 、モク 、き 、こ-, tree
kiku, ブン 、モン 、き.く 、き.こえる, to hear
taberu, ショク 、ジキ 、く.う 、 く.らう 、た.べる 、は.む, to eat
kuruma, シャ 、くるま, car
nani, カ 、なに 、なん 、なに- 、なん-, what
minami, ナン 、ナ 、みなみ, south
man, マン 、バン 、よろず, $10^{4}$
goto, マイ 、ごと 、-ごと.に, every
shiro, ハク 、ビャク 、しろ 、 しら- 、しろ.い, white
ten, テン 、あまつ 、あめ 、 あま-, sky
haha, ボ 、はは 、も, mother
hi, カ 、ひ 、-び 、ほ-, fire
migi, ウ 、ユウ 、みぎ, right
yomu, ドク 、トク 、トウ 、よ.む 、-よ.み, to read
tomo, ユウ 、とも,friend
hidari, サ 、シャ 、ひだり, left
yasumu, キュウ 、やす.む 、やす.まる 、やす.める, to rest
chichi,フ 、ちち, father
ame, ウ 、あめ 、あま- 、-さめ, rain
力,リョク・リキ・リイ・ちから,power; strength; strong; strain; bearup; exert
立,リツ・リュウ・リットル・た.つ・-た.つ・た.ち-・た.てる・-た.てる・た.て-・たて-・-た.て・-だ.て・-だ.てる,standup; rise; setup; erect
